index	identifier	file	clip	sum_stat	description
0	0	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00216.BC15.bw	384	sum	corpus_callosum
1	1	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00117.BC01.bw	384	sum	skin
2	2	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00117.BC02.bw	384	sum	parathyroid_gland
3	3	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00118.BC01.bw	384	sum	cardiac_muscle_tissue
4	4	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00118.BC02.bw	384	sum	uterus
5	5	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00119.BC04.bw	384	sum	cardiac_muscle_tissue
6	6	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00120.BC02.bw	384	sum	corpus_callosum
7	7	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00120.BC04.bw	384	sum	parathyroid_gland
8	8	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00141.BC01.bw	384	sum	piriform_lobe
9	9	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00141.BC04.bw	384	sum	caudate_nucleus_+_amygdala
10	10	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00142.BC01.bw	384	sum	cerebellum_hemisphere_+_cerebellum_vermis
11	11	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00142.BC04.bw	384	sum	caudate_nucleus_+_amygdala
12	12	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00143.BC01.bw	384	sum	piriform_lobe
13	13	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00144.BC04.bw	384	sum	frontal_cortex_+_parietal_cortex_+_temporal_cortex_+_occipital_cortex
