index	identifier	file	clip	sum_stat	description
0	0	/groups/dog/ckergal/data/CAGE_DoGA/CAGE_L_00201.BC02Aligned.sortedByCoord.out.sort_chr.bw	384	sum	Rottweiler_spleen_3376
1	1	/groups/dog/ckergal/data/CAGE_DoGA/CAGE_L_00201.BC03Aligned.sortedByCoord.out.sort_chr.bw	384	sum	German_Pinscher_adenohypophysis_2757
2	2	/groups/dog/ckergal/data/CAGE_DoGA/CAGE_L_00201.BC05Aligned.sortedByCoord.out.sort_chr.bw	384	sum	Swedish_Elkhound_caudate_nucleus_+_amygdala_510_515
3	3	/groups/dog/ckergal/data/CAGE_DoGA/CAGE_L_00201.BC08Aligned.sortedByCoord.out.sort_chr.bw	384	sum	Finnish_Lapphund_dorsal_root_ganglion_71
4	4	/groups/dog/ckergal/data/CAGE_DoGA/CAGE_L_00201.BC12Aligned.sortedByCoord.out.sort_chr.bw	384	sum	Finnish_Lapphund_adrenal_gland_cortex_+_adrenal_gland_medulla_365_369
5	5	/groups/dog/ckergal/data/CAGE_DoGA/CAGE_L_00201.BC13Aligned.sortedByCoord.out.sort_chr.bw	384	sum	Rottweiler_bone_marrow_1357
6	6	/groups/dog/ckergal/data/CAGE_DoGA/CAGE_L_00202.BC02Aligned.sortedByCoord.out.sort_chr.bw	384	sum	Rottweiler_right_testis_3455
7	7	/groups/dog/ckergal/data/CAGE_DoGA/CAGE_L_00202.BC03Aligned.sortedByCoord.out.sort_chr.bw	384	sum	Rottweiler_hippocampal_formation_1037
8	8	/groups/dog/ckergal/data/CAGE_DoGA/CAGE_L_00202.BC05Aligned.sortedByCoord.out.sort_chr.bw	384	sum	German_Pinscher_neurohypophysis_2753
9	9	/groups/dog/ckergal/data/CAGE_DoGA/CAGE_L_00202.BC08Aligned.sortedByCoord.out.sort_chr.bw	384	sum	NA_BD342_
10	10	/groups/dog/ckergal/data/CAGE_DoGA/CAGE_L_00202.BC12Aligned.sortedByCoord.out.sort_chr.bw	384	sum	Rottweiler_cerebellum_hemisphere_(right_side)_+_cerebellum_hemisphere_(left_side)_+_cerebellum_vermis_3143_3147_3151
11	11	/groups/dog/ckergal/data/CAGE_DoGA/CAGE_L_00202.BC13Aligned.sortedByCoord.out.sort_chr.bw	384	sum	German_Pinscher_thoracic_aorta_+_vena_cava_2874_2875_2879
12	12	/groups/dog/ckergal/data/CAGE_DoGA/CAGE_L_00202.BC15Aligned.sortedByCoord.out.sort_chr.bw	384	sum	German_Pinscher_lung_alveoli_2870
13	13	/groups/dog/ckergal/data/CAGE_DoGA/CAGE_L_00203.BC02Aligned.sortedByCoord.out.sort_chr.bw	384	sum	Finnish_Lapphund_colon_(mucosa)_356
14	14	/groups/dog/ckergal/data/CAGE_DoGA/CAGE_L_00203.BC03Aligned.sortedByCoord.out.sort_chr.bw	384	sum	Finnish_Lapphund_spleen_313
15	15	/groups/dog/ckergal/data/CAGE_DoGA/CAGE_L_00203.BC05Aligned.sortedByCoord.out.sort_chr.bw	384	sum	Rottweiler_olfactory_bulb_+_vomeronasal_organ_+_nasal_cavity_olfactory_mucosa_3107_3199_3202
16	16	/groups/dog/ckergal/data/CAGE_DoGA/CAGE_L_00203.BC10Aligned.sortedByCoord.out.sort_chr.bw	384	sum	Border_Collie_substantia_nigra_+_pons_+_medulla_oblongata_1446_1451_1456
17	17	/groups/dog/ckergal/data/CAGE_DoGA/CAGE_L_00203.BC13Aligned.sortedByCoord.out.sort_chr.bw	384	sum	German_Pinscher_hippocampal_formation_2745
18	18	/groups/dog/ckergal/data/CAGE_DoGA/CAGE_L_00203.BC15Aligned.sortedByCoord.out.sort_chr.bw	384	sum	NA_BD342_
19	19	/groups/dog/ckergal/data/CAGE_DoGA/CAGE_L_00204.BC02Aligned.sortedByCoord.out.sort_chr.bw	384	sum	Finnish_Lapphund_nucleus_reuniens_+_lateral_geniculate_nucleus_51_53
20	20	/groups/dog/ckergal/data/CAGE_DoGA/CAGE_L_00204.BC03Aligned.sortedByCoord.out.sort_chr.bw	384	sum	Swedish_Elkhound_spinal_cord_cervical_segment_563
21	21	/groups/dog/ckergal/data/CAGE_DoGA/CAGE_L_00204.BC05Aligned.sortedByCoord.out.sort_chr.bw	384	sum	Rottweiler_left_ventricle_myocardium_+_right_ventricle_myocardium_+_interventricular_septum_muscular_part_3319_3343_3351
22	22	/groups/dog/ckergal/data/CAGE_DoGA/CAGE_L_00204.BC08Aligned.sortedByCoord.out.sort_chr.bw	384	sum	Swedish_Elkhound_adenohypophysis_569
23	23	/groups/dog/ckergal/data/CAGE_DoGA/CAGE_L_00204.BC10Aligned.sortedByCoord.out.sort_chr.bw	384	sum	German_Pinscher_liver_left_lobe_2934
24	24	/groups/dog/ckergal/data/CAGE_DoGA/CAGE_L_00204.BC13Aligned.sortedByCoord.out.sort_chr.bw	384	sum	Border_Collie_corpus_callosum_1422
25	25	/groups/dog/ckergal/data/CAGE_DoGA/CAGE_L_00204.BC15Aligned.sortedByCoord.out.sort_chr.bw	384	sum	German_Pinscher_right_ovary_3024
26	26	/groups/dog/ckergal/data/CAGE_DoGA/CAGE_L_00205.BC02Aligned.sortedByCoord.out.sort_chr.bw	384	sum	NA_BD342_
27	27	/groups/dog/ckergal/data/CAGE_DoGA/CAGE_L_00205.BC03Aligned.sortedByCoord.out.sort_chr.bw	384	sum	Rottweiler_lateral_geniculate_nucleus_+_nucleus_reuniens_3160_3155
28	28	/groups/dog/ckergal/data/CAGE_DoGA/CAGE_L_00205.BC05Aligned.sortedByCoord.out.sort_chr.bw	384	sum	Rottweiler_supraspinatus_3483
29	29	/groups/dog/ckergal/data/CAGE_DoGA/CAGE_L_00205.BC08Aligned.sortedByCoord.out.sort_chr.bw	384	sum	Rottweiler_prostate_gland_1323
30	30	/groups/dog/ckergal/data/CAGE_DoGA/CAGE_L_00205.BC12Aligned.sortedByCoord.out.sort_chr.bw	384	sum	German_Pinscher_thyroid_gland_2834
31	31	/groups/dog/ckergal/data/CAGE_DoGA/CAGE_L_00205.BC13Aligned.sortedByCoord.out.sort_chr.bw	384	sum	Swedish_Elkhound_liver_left_lobe_795
32	32	/groups/dog/ckergal/data/CAGE_DoGA/CAGE_L_00206.BC02Aligned.sortedByCoord.out.sort_chr.bw	384	sum	Alaskan_Malamute_thoracic_aorta_+_vena_cava_3736_3740
33	33	/groups/dog/ckergal/data/CAGE_DoGA/CAGE_L_00206.BC03Aligned.sortedByCoord.out.sort_chr.bw	384	sum	NA_BD410_
34	34	/groups/dog/ckergal/data/CAGE_DoGA/CAGE_L_00206.BC05Aligned.sortedByCoord.out.sort_chr.bw	384	sum	German_Pinscher_retina_+_optic_II_nerve_2800_2808
35	35	/groups/dog/ckergal/data/CAGE_DoGA/CAGE_L_00206.BC12Aligned.sortedByCoord.out.sort_chr.bw	384	sum	Border_Collie_nucleus_reuniens_+_lateral_geniculate_nucleus_1439_1442
36	36	/groups/dog/ckergal/data/CAGE_DoGA/CAGE_L_00206.BC13Aligned.sortedByCoord.out.sort_chr.bw	384	sum	Swedish_Elkhound_thyroid_gland_693
37	37	/groups/dog/ckergal/data/CAGE_DoGA/CAGE_L_00206.BC15Aligned.sortedByCoord.out.sort_chr.bw	384	sum	East-European_Shepherd_right_uterine_horn_4754
38	38	/groups/dog/ckergal/data/CAGE_DoGA/CAGE_L_00207.BC02Aligned.sortedByCoord.out.sort_chr.bw	384	sum	Collie_aortic_valve_+_atrioventricular_valve_4189_4193
39	39	/groups/dog/ckergal/data/CAGE_DoGA/CAGE_L_00207.BC03Aligned.sortedByCoord.out.sort_chr.bw	384	sum	German_Pinscher_colon_(mucosa)_2978
40	40	/groups/dog/ckergal/data/CAGE_DoGA/CAGE_L_00207.BC05Aligned.sortedByCoord.out.sort_chr.bw	384	sum	NA_BD410_
41	41	/groups/dog/ckergal/data/CAGE_DoGA/CAGE_L_00207.BC10Aligned.sortedByCoord.out.sort_chr.bw	384	sum	Alaskan_Malamute_right_ovary_3884
42	42	/groups/dog/ckergal/data/CAGE_DoGA/CAGE_L_00207.BC13Aligned.sortedByCoord.out.sort_chr.bw	384	sum	Rottweiler_retina_+_optic_II_nerve_1093_1100
43	43	/groups/dog/ckergal/data/CAGE_DoGA/CAGE_L_00207.BC15Aligned.sortedByCoord.out.sort_chr.bw	384	sum	Swedish_Elkhound_neurohypophysis_565
44	44	/groups/dog/ckergal/data/CAGE_DoGA/CAGE_L_00208.BC03Aligned.sortedByCoord.out.sort_chr.bw	384	sum	German_Pinscher_skin_3092
45	45	/groups/dog/ckergal/data/CAGE_DoGA/CAGE_L_00208.BC05Aligned.sortedByCoord.out.sort_chr.bw	384	sum	Collie_right_testis_4317
46	46	/groups/dog/ckergal/data/CAGE_DoGA/CAGE_L_00208.BC08Aligned.sortedByCoord.out.sort_chr.bw	384	sum	Finnish_Lapphund_trachea_+_right_main_bronchus_272_280
47	47	/groups/dog/ckergal/data/CAGE_DoGA/CAGE_L_00208.BC13Aligned.sortedByCoord.out.sort_chr.bw	384	sum	Rottweiler_neurohypophysis_3186
48	48	/groups/dog/ckergal/data/CAGE_DoGA/CAGE_L_00209.BC03Aligned.sortedByCoord.out.sort_chr.bw	384	sum	Swedish_Elkhound_bone_marrow_925
49	49	/groups/dog/ckergal/data/CAGE_DoGA/CAGE_L_00209.BC05Aligned.sortedByCoord.out.sort_chr.bw	384	sum	Rottweiler_Fibroblasts_5740
50	50	/groups/dog/ckergal/data/CAGE_DoGA/CAGE_L_00209.BC08Aligned.sortedByCoord.out.sort_chr.bw	384	sum	Rottweiler_piriform_lobe_969
51	51	/groups/dog/ckergal/data/CAGE_DoGA/CAGE_L_00209.BC10Aligned.sortedByCoord.out.sort_chr.bw	384	sum	Swedish_Elkhound_supraspinatus_913
52	52	/groups/dog/ckergal/data/CAGE_DoGA/CAGE_L_00209.BC12Aligned.sortedByCoord.out.sort_chr.bw	384	sum	Swedish_Elkhound_lung_alveoli_732
53	53	/groups/dog/ckergal/data/CAGE_DoGA/CAGE_L_00209.BC15Aligned.sortedByCoord.out.sort_chr.bw	384	sum	Rottweiler_trachea_+_right_main_bronchus_3291_3300
54	54	/groups/dog/ckergal/data/CAGE_DoGA/CAGE_L_00210.BC02Aligned.sortedByCoord.out.sort_chr.bw	384	sum	German_Pinscher_kidney_cortex_+_kidney_medulla_2998_3006
55	55	/groups/dog/ckergal/data/CAGE_DoGA/CAGE_L_00210.BC08Aligned.sortedByCoord.out.sort_chr.bw	384	sum	Rottweiler_thoracic_aorta_+_vena_cava_3308_3311
56	56	/groups/dog/ckergal/data/CAGE_DoGA/CAGE_L_00210.BC10Aligned.sortedByCoord.out.sort_chr.bw	384	sum	Collie_trachea_+_right_main_bronchus_4154_4162
