NAME	DCHR	DPROMSTART	DPROMEND	DSTRAND	HCHR	HPROMSTART	HPROMEND	HSTRAND
NFATC1	chr1	1092567	1093591	-1	chr18	79394832	79395856	1
SERPINB2	chr1	13348711	13349735	-1	chr18	63870668	63871692	1
KDSR	chr1	13765571	13766595	1	chr18	63367228	63368252	-1
BCL2	chr1	13810563	13811587	1	chr18	63320128	63321152	-1
TNFRSF11A	chr1	14632411	14633435	-1	chr18	62324263	62325287	1
PMAIP1	chr1	16562268	16563292	-1	chr18	59898972	59899996	1
MALT1	chr1	17516194	17517218	-1	chr18	58670441	58671465	1
SMAD4	chr1	24041139	24042163	-1	chr18	51027370	51028394	1
SGK1	chr1	27428323	27429347	-1	chr6	134318112	134319136	-1
MYB	chr1	28140096	28141120	1	chr6	135180284	135181308	1
MAP3K5	chr1	29536372	29537396	-1	chr6	136792477	136793501	-1
IL22RA2	chr1	29862175	29863199	-1	chr6	137173648	137174672	-1
IFNGR1	chr1	29899982	29901006	-1	chr6	137219449	137220473	-1
TNFAIP3	chr1	30483549	30484573	1	chr6	137866190	137867214	1
ECT2L	chr1	31291644	31292668	1	chr6	138794887	138795911	1
LATS1	chr1	40723233	40724257	-1	chr6	149718105	149719129	-1
ESR1	chr1	42490297	42491321	1	chr6	151655667	151656691	1
ARID1B	chr1	46851623	46852647	1	chr6	156774996	156776020	1
EZR	chr1	48703265	48704289	-1	chr6	158819368	158820392	-1
IGF2R	chr1	49713360	49714384	1	chr6	159968058	159969082	1
PRKN	chr1	51751574	51752598	-1	chr6	162727775	162728799	-1
QKI	chr1	52355332	52356356	1	chr6	163412976	163414000	1
CEP43	chr1	55399428	55400452	1	chr6	166998293	166999317	1
CCR6	chr1	55483215	55484239	1	chr6	167110783	167111807	1
AFDN	chr1	55949734	55950758	1	chr6	167825887	167826911	1
CALHM6	chr1	57446734	57447758	1	chr6	116460346	116461370	1
ROS1	chr1	58232431	58233455	-1	chr6	117425942	117426966	-1
RSPO3	chr1	66411751	66412775	1	chr6	127117647	127118671	1
PTPRK	chr1	67706400	67707424	-1	chr6	128520616	128521640	-1
PTCH1	chr1	71823967	71824991	1	chr9	95517057	95518081	-1
FANCC	chr1	71974489	71975513	1	chr9	95426796	95427820	-1
NTRK2	chr1	75362564	75363588	-1	chr9	84667527	84668551	1
GNAQ	chr1	81382386	81383410	1	chr9	78031811	78032835	-1
ANXA1	chr1	85444242	85445266	-1	chr9	73150841	73151865	1
SMARCA2	chr1	91389453	91390477	1	chr9	1979266	1980290	1
JAK2	chr1	93995630	93996654	1	chr9	4983366	4984390	1
CD274	chr1	94259486	94260510	1	chr9	5449479	5450503	1
PDCD1LG2	chr1	94305806	94306830	1	chr9	5509507	5510531	1
SYK	chr1	96698710	96699734	-1	chr9	90800763	90801787	1
OMD	chr1	99644415	99645439	1	chr9	92424471	92425495	-1
U2AF2	chr1	102857344	102858368	-1	chr19	55653122	55654146	1
IL11	chr1	103076723	103077747	1	chr19	55370463	55371487	-1
BRSK1	chr1	103150595	103151619	-1	chr19	55281048	55282072	1
NCR1	chr1	103452910	103453934	-1	chr19	54905124	54906148	1
CNOT3	chr1	103829201	103830225	-1	chr19	54136725	54137749	1
TFPT	chr1	103848258	103849282	1	chr19	54115657	54116681	-1
ZNF331	chr1	104293618	104294642	-1	chr19	53518503	53519527	1
PPP2R1A	chr1	105636892	105637916	-1	chr19	52189024	52190048	1
POLD1	chr1	106996721	106997745	-1	chr19	50383180	50384204	1
IRF3	chr1	107549099	107550123	1	chr19	49665875	49666899	-1
RRAS	chr1	107571280	107572304	1	chr19	49640143	49641167	-1
FLT3LG	chr1	107700992	107702016	-1	chr19	49473183	49474207	1
CD37	chr1	107813087	107814111	-1	chr19	49334147	49335171	1
BAX	chr1	108100590	108101614	-1	chr19	48953791	48954815	1
ARHGAP35	chr1	109786942	109787966	-1	chr19	46859973	46860997	1
ERCC2	chr1	110885029	110886053	1	chr19	45370918	45371942	-1
RELB	chr1	111175691	111176715	-1	chr19	45000425	45001449	1
APOE	chr1	111237204	111238228	-1	chr19	44904767	44905791	1
CBLC	chr1	111316680	111317704	-1	chr19	44776845	44777869	1
BCL3	chr1	111338394	111339418	-1	chr19	44746681	44747705	1
PVR	chr1	111424445	111425469	-1	chr19	44642774	44643798	1
CIC	chr1	112837664	112838688	-1	chr19	42267513	42268537	1
ERF	chr1	112841460	112842484	1	chr19	42255128	42256152	-1
POU2F2	chr1	112893814	112894838	1	chr19	42196585	42197609	-1
CD79A	chr1	113154758	113155782	-1	chr19	41876255	41877279	1
TGFB1	chr1	113412503	113413527	1	chr19	41353922	41354946	-1
AXL	chr1	113511641	113512665	-1	chr19	41218199	41219223	1
AKT2	chr1	114171952	114172976	1	chr19	40285536	40286560	-1
HCST	chr1	117609694	117610718	-1	chr19	35901505	35902529	1
KMT2B	chr1	117758866	117759890	-1	chr19	35716949	35717973	1
CD22	chr1	118129031	118130055	-1	chr19	35318237	35319261	1
HAMP	chr1	118150653	118151677	-1	chr19	35279692	35280716	1
GPI	chr1	118789615	118790639	-1	chr19	34358456	34359480	1
CCNE1	chr1	122579545	122580569	-1	chr19	29810967	29811991	1
NRP1	chr2	3641770	3642794	1	chr10	33336262	33337286	-1
ITGB1	chr2	3938054	3939078	1	chr10	33005792	33006816	-1
ABI1	chr2	4751787	4752811	1	chr10	26861087	26862111	-1
BMI1	chr2	8644069	8645093	-1	chr10	22320075	22321099	1
MLLT10	chr2	9421340	9422364	-1	chr10	21523622	21524646	1
KIF5B	chr2	12675773	12676797	1	chr10	32056425	32057449	-1
ZEB1	chr2	13322104	13323128	-1	chr10	31317471	31318495	1
MRC1	chr2	18133728	18134752	-1	chr10	17808324	17809348	1
VIM	chr2	18629571	18630595	-1	chr10	17227217	17228241	1
GATA3	chr2	27142926	27143950	-1	chr10	8044354	8045378	1
IL2RA	chr2	28927248	28928272	1	chr10	6062370	6063394	-1
IL15RA	chr2	29012715	29013739	1	chr10	5978187	5979211	-1
KLF6	chr2	30687875	30688899	1	chr10	3785281	3786305	-1
HBEGF	chr2	34691039	34692063	-1	chr5	140346603	140347627	-1
ARHGAP26	chr2	36775744	36776768	1	chr5	142769353	142770377	1
GZMA	chr2	41652442	41653466	1	chr5	55101622	55102646	1
IL31RA	chr2	42278679	42279703	1	chr5	55850333	55851357	1
IL6ST	chr2	42426940	42427964	-1	chr5	55995022	55996046	-1
MAP3K1	chr2	43099318	43100342	1	chr5	56814525	56815549	1
PLK2	chr2	44546873	44547897	-1	chr5	58460139	58461163	-1
CD180	chr2	51894980	51896004	-1	chr5	67196799	67197823	-1
PIK3R1	chr2	52677712	52678736	1	chr5	68214732	68215756	1
ARHGEF28	chr2	55656739	55657763	1	chr5	73625134	73626158	1
SETD6	chr2	57413646	57414670	-1	chr16	58514455	58515479	1
CCL17	chr2	58274870	58275894	-1	chr16	57403743	57404767	1
CX3CL1	chr2	58302979	58304003	-1	chr16	57371453	57372477	1
