chrom  start      end        gene_name  score  strand  DNA_count  DNA_sum  DNA_cov   LINE_count  LINE_sum  LINE_cov  LTR_count  LTR_sum  LTR_cov  SINE_count  SINE_sum  SINE_cov
chr1   1092567    1093591    NFATC1     0      -       0          0        0         0           0         0         0          0        0        0           0         0
chr1   13348711   13349735   SERPINB2   0      -       0          0        0         0           0         0         0          0        0        1           206       20.1172
chr1   13765571   13766595   KDSR       0      +       0          0        0         1           473       46.1914   0          0        0        1           116       11.3281
chr1   13810563   13811587   BCL2       0      +       0          0        0         0           0         0         0          0        0        0           0         0
chr1   14632411   14633435   TNFRSF11A  0      -       0          0        0         0           0         0         0          0        0        0           0         0
chr1   16562268   16563292   PMAIP1     0      -       0          0        0         0           0         0         0          0        0        0           0         0
chr1   17516194   17517218   MALT1      0      -       0          0        0         0           0         0         0          0        0        0           0         0
chr1   24041139   24042163   SMAD4      0      -       0          0        0         0           0         0         0          0        0        0           0         0
chr1   27428323   27429347   SGK1       0      -       0          0        0         0           0         0         0          0        0        0           0         0
chr1   28140096   28141120   MYB        0      +       0          0        0         0           0         0         0          0        0        0           0         0
chr1   29536372   29537396   MAP3K5     0      -       0          0        0         0           0         0         0          0        0        0           0         0
chr1   29862175   29863199   IL22RA2    0      -       0          0        0         1           70        6.83594   0          0        0        1           70        6.83594
chr1   29899982   29901006   IFNGR1     0      -       0          0        0         0           0         0         0          0        0        0           0         0
chr1   30483549   30484573   TNFAIP3    0      +       1          91       8.88672   0           0         0         0          0        0        0           0         0
chr1   31291644   31292668   ECT2L      0      +       0          0        0         1           51        4.98047   0          0        0        0           0         0
chr1   40723233   40724257   LATS1      0      -       0          0        0         3           457       44.6289   0          0        0        3           335       32.7148
chr1   42490297   42491321   ESR1       0      +       0          0        0         0           0         0         0          0        0        0           0         0
chr1   46851623   46852647   ARID1B     0      +       0          0        0         0           0         0         0          0        0        0           0         0
chr1   48703265   48704289   EZR        0      -       0          0        0         0           0         0         0          0        0        0           0         0
chr1   49713360   49714384   IGF2R      0      +       0          0        0         0           0         0         0          0        0        2           131       12.793
chr1   51751574   51752598   PRKN       0      -       0          0        0         0           0         0         0          0        0        0           0         0
chr1   52355332   52356356   QKI        0      +       0          0        0         0           0         0         0          0        0        0           0         0
chr1   55399428   55400452   CEP43      0      +       0          0        0         0           0         0         1          318      31.0547  0           0         0
chr1   55483215   55484239   CCR6       0      +       0          0        0         1           22        2.14844   0          0        0        1           235       22.9492
chr1   55949734   55950758   AFDN       0      +       0          0        0         0           0         0         0          0        0        0           0         0
chr1   57446734   57447758   CALHM6     0      +       0          0        0         0           0         0         0          0        0        0           0         0
chr1   58232431   58233455   ROS1       0      -       1          679      66.3086   0           0         0         0          0        0        1           119       11.6211
chr1   66411751   66412775   RSPO3      0      +       0          0        0         0           0         0         0          0        0        0           0         0
chr1   67706400   67707424   PTPRK      0      -       0          0        0         0           0         0         0          0        0        0           0         0
chr1   71823967   71824991   PTCH1      0      +       0          0        0         0           0         0         0          0        0        0           0         0
chr1   71974489   71975513   FANCC      0      +       0          0        0         0           0         0         0          0        0        1           77        7.51953
chr1   75362564   75363588   NTRK2      0      -       0          0        0         0           0         0         0          0        0        0           0         0
chr1   81382386   81383410   GNAQ       0      +       0          0        0         0           0         0         0          0        0        0           0         0
chr1   85444242   85445266   ANXA1      0      -       0          0        0         0           0         0         0          0        0        2           290       28.3203
chr1   91389453   91390477   SMARCA2    0      +       0          0        0         0           0         0         0          0        0        0           0         0
chr1   93995630   93996654   JAK2       0      +       0          0        0         0           0         0         0          0        0        0           0         0
chr1   94259486   94260510   CD274      0      +       0          0        0         0           0         0         0          0        0        0           0         0
chr1   94305806   94306830   PDCD1LG2   0      +       0          0        0         0           0         0         1          460      44.9219  0           0         0
chr1   96698710   96699734   SYK        0      -       0          0        0         0           0         0         0          0        0        1           154       15.0391
chr1   99644415   99645439   OMD        0      +       0          0        0         0           0         0         0          0        0        1           197       19.2383
chr1   102857344  102858368  U2AF2      0      -       0          0        0         0           0         0         0          0        0        0           0         0
chr1   103076723  103077747  IL11       0      +       0          0        0         0           0         0         0          0        0        0           0         0
chr1   103150595  103151619  BRSK1      0      -       0          0        0         0           0         0         0          0        0        0           0         0
chr1   103452910  103453934  NCR1       0      -       0          0        0         2           464       45.3125   0          0        0        0           0         0
chr1   103829201  103830225  CNOT3      0      -       0          0        0         0           0         0         0          0        0        0           0         0
chr1   103848258  103849282  TFPT       0      +       0          0        0         0           0         0         0          0        0        0           0         0
chr1   104293618  104294642  ZNF331     0      -       0          0        0         1           73        7.12891   0          0        0        2           271       26.4648
chr1   105636892  105637916  PPP2R1A    0      -       0          0        0         0           0         0         1          267      26.0742  0           0         0
chr1   106996721  106997745  POLD1      0      -       0          0        0         1           169       16.5039   0          0        0        0           0         0
